,p,q,P,Q,AIC,BIC
0,0,0,0,0,1962.8105302682138,1966.4734907483498
1,0,0,0,1,1929.0969387608811,1936.422859721153
2,0,0,1,0,1933.69012146949,1941.0160424297617
3,0,0,1,1,1931.0706843187868,1942.0595657591946
4,0,1,0,0,1733.8732605929222,1741.199181553194
5,0,1,0,1,1686.1442765809882,1697.133158021396
6,0,1,1,0,1694.6632464686327,1705.6521279090405
7,0,1,1,1,1688.0145495933623,1702.666391513906
8,1,0,0,0,1563.9939951034173,1571.319916063689
9,1,0,0,1,1510.3873518381888,1521.3762332785966
10,1,0,1,0,1521.963126408764,1532.9520078491719
11,1,0,1,1,1511.836718583128,1526.4885605036718
12,1,1,0,0,1564.364797835597,1575.3536792760049
13,1,1,0,1,1505.293539596535,1519.9453815170789
14,1,1,1,0,1519.9842825681862,1534.63612448873
15,1,1,1,1,1507.0259123300684,1525.3407147307482
